Year,Month,Months,min3 SD,min2 SD,min1 SD,Median,plus1 SD,plus2 SD,plus3 SD
2:,0,24,78,81,84.1,87.1,90.2,93.2,96.3
2:,1,25,78.6,81.7,84.9,88,91.1,94.2,97.3
2:,2,26,79.3,82.5,85.6,88.8,92,95.2,98.3
2:,3,27,79.9,83.1,86.4,89.6,92.9,96.1,99.3
2:,4,28,80.5,83.8,87.1,90.4,93.7,97,100.3
2:,5,29,81.1,84.5,87.8,91.2,94.5,97.9,101.2
2:,6,30,81.7,85.1,88.5,91.9,95.3,98.7,102.1
2:,7,31,82.3,85.7,89.2,92.7,96.1,99.6,103
2:,8,32,82.8,86.4,89.9,93.4,96.9,100.4,103.9
2:,9,33,83.4,86.9,90.5,94.1,97.6,101.2,104.8
2:,10,34,83.9,87.5,91.1,94.8,98.4,102,105.6
2:,11,35,84.4,88.1,91.8,95.4,99.1,102.7,106.4
3:,0,36,85,88.7,92.4,96.1,99.8,103.5,107.2
3:,1,37,85.5,89.2,93,96.7,100.5,104.2,108
3:,2,38,86,89.8,93.6,97.4,101.2,105,108.8
3:,3,39,86.5,90.3,94.2,98,101.8,105.7,109.5
3:,4,40,87,90.9,94.7,98.6,102.5,106.4,110.3
3:,5,41,87.5,91.4,95.3,99.2,103.2,107.1,111
3:,6,42,88,91.9,95.9,99.9,103.8,107.8,111.7
3:,7,43,88.4,92.4,96.4,100.4,104.5,108.5,112.5
3:,8,44,88.9,93,97,101,105.1,109.1,113.2
3:,9,45,89.4,93.5,97.5,101.6,105.7,109.8,113.9
3:,10,46,89.8,94,98.1,102.2,106.3,110.4,114.6
3:,11,47,90.3,94.4,98.6,102.8,106.9,111.1,115.2
4:,0,48,90.7,94.9,99.1,103.3,107.5,111.7,115.9
4:,1,49,91.2,95.4,99.7,103.9,108.1,112.4,116.6
4:,2,50,91.6,95.9,100.2,104.4,108.7,113,117.3
4:,3,51,92.1,96.4,100.7,105,109.3,113.6,117.9
4:,4,52,92.5,96.9,101.2,105.6,109.9,114.2,118.6
4:,5,53,93,97.4,101.7,106.1,110.5,114.9,119.2
4:,6,54,93.4,97.8,102.3,106.7,111.1,115.5,119.9
4:,7,55,93.9,98.3,102.8,107.2,111.7,116.1,120.6
4:,8,56,94.3,98.8,103.3,107.8,112.3,116.7,121.2
4:,9,57,94.7,99.3,103.8,108.3,112.8,117.4,121.9
4:,10,58,95.2,99.7,104.3,108.9,113.4,118,122.6
4:,11,59,95.6,100.2,104.8,109.4,114,118.6,123.2
5:,0,60,96.1,100.7,105.3,110,114.6,119.2,123.9
